id,name,show_id,count,percent
307,Ari Folman,70285728,1,0.014660606949127693
308,Ari Levinson,80132411,1,0.014660606949127693
309,Ari Sandel,"80117531,80991404",2,0.029321213898255385
310,Arie Azis,81016339,1,0.014660606949127693
311,Ariel Vromen,80188120,1,0.014660606949127693
312,Arjun Gourisaria,80239738,1,0.014660606949127693
313,Arjun Jandyala,81217737,1,0.014660606949127693
314,Arnab Chaudhuri,70139073,1,0.014660606949127693
315,Arne Birkenstock,70175127,1,0.014660606949127693
316,Artemis Joukowsky,80103430,1,0.014660606949127693
317,Arthell Isom,81171121,1,0.014660606949127693
318,Arthur Allan Seidelman,70206822,1,0.014660606949127693
319,Arthur Muhammad,81103108,1,0.014660606949127693
320,Arun Chidambaram,80187684,1,0.014660606949127693
321,Arun Vaidyanathan,80206732,1,0.014660606949127693
322,Aruna Raje,81026327,1,0.014660606949127693
323,Asghar Farhadi,"70175439,80996787",2,0.029321213898255385
324,Ash Brannon,70058025,1,0.014660606949127693
325,Ashim Ahluwalia,80115844,1,0.014660606949127693
326,Ashish R. Mohan,80223190,1,0.014660606949127693
327,Ashish R. Shukla,80201828,1,0.014660606949127693
328,Ashley York,80028208,1,0.014660606949127693
329,Ashok Nanda,80203786,1,0.014660606949127693
330,Ashu Trikha,81213873,1,0.014660606949127693
331,Ashutosh Gowariker,"60020906,70019491,70090035,70123118,80104257",5,0.07330303474563847
332,Ashwin Saravanan,"81151877,81151878,81151880",3,0.043981820847383085
333,Ashwiny Iyer Tiwari,81016193,1,0.014660606949127693
334,Asif Kapadia,"70170051,80049094",2,0.029321213898255385
335,Asim Abbasi,81110389,1,0.014660606949127693
336,Asim Raza,80094964,1,0.014660606949127693
337,Asit Mohapatra,"81092776,81092778,81092779",3,0.043981820847383085
338,Asri Bendacha,81037898,1,0.014660606949127693
339,Atanu Ghosh,"80176698,81018236",2,0.029321213898255385
340,Atanu Mukherjee,80245518,1,0.014660606949127693
341,Atharv Baluja,81024713,1,0.014660606949127693
342,Atlee Kumar,81016196,1,0.014660606949127693
343,Atom Egoyan,"70124183,80013547,80022605",3,0.043981820847383085
344,Atsajun Sattakovit,80999987,1,0.014660606949127693
345,Atsuko Ishizuka,81068687,1,0.014660606949127693
346,Attila Till,80147758,1,0.014660606949127693
347,Atul Kale,80201816,1,0.014660606949127693
348,Atul Malhotra,80173234,1,0.014660606949127693
349,Aubrey Powell,80235999,1,0.014660606949127693
350,Audu Paden,"80004286,80208176",2,0.029321213898255385
351,Augusto Matte,80234464,1,0.014660606949127693
352,Austin Kolodney,80213400,1,0.014660606949127693
353,Austin Stark,80057700,1,0.014660606949127693
354,Ava DuVernay,"80091741,80208155",2,0.029321213898255385
355,Avadhoot Gupte,"80201605,80201817",2,0.029321213898255385
356,Avinash Arun,70302835,1,0.014660606949127693
357,Avinash Das,80195886,1,0.014660606949127693
358,Awi Suryadi,81047902,1,0.014660606949127693
359,Ayaan Mukherji,70123119,1,0.014660606949127693
360,Aytaç Ağırlar,80134433,1,0.014660606949127693
361,Ayush Raina,80170483,1,0.014660606949127693
362,Azazel Jacobs,80167628,1,0.014660606949127693
363,Azfar Jafri,80142637,1,0.014660606949127693
364,Aziz Ansari,80038296,1,0.014660606949127693
365,Aziz Mirza,"60000722,60036112,70101039",3,0.043981820847383085
366,B. Unnikrishnan,70241088,1,0.014660606949127693
367,B. V. Nandini Reddy,"81093951,81186757,81186758",3,0.043981820847383085
368,B.N. Shajeer Sha,80998564,1,0.014660606949127693
