id,name,show_id,count,percent,director_id
246,Adam Sandler,"17687959,60027583,70041162,70087541,70100381,80039517,80063265,80126569,80174434,80183328,80224536,80233925,80242619",13,0.028965486508767627,80063224
247,Adam Scott,"70021634,70093991,70124331,70143842,70167133,80039069,80082242,80108976,80117800,80139506,80151370,80168234",11,0.024509257815111072,"70105369,80158976"
248,Adam Scott Miller,80108976,1,0.002228114346828279,80134149
249,Adam Shapiro,"80025744,80049358",2,0.004456228693656558,80993105
250,Adam Silver,80142615,1,0.002228114346828279,"60022502,70019506,70128696,80120740"
251,Adam Tsekhman,80066080,1,0.002228114346828279,"70187503,70198040,80204460,80223230,81213891"
252,Adam Tuominen,"70213079,70290905,80187107",3,0.006684343040484838,60002907
253,Adam West,70028197,1,0.002228114346828279,80135631
254,Adam Wilson,70302484,1,0.002228114346828279,80067522
255,Adam Wylie,80164979,1,0.002228114346828279,"81016321,81016322,81016323"
256,Adamo Dionisi,80081537,1,0.002228114346828279,"81037984,81062674"
257,Adan Canto,80113647,1,0.002228114346828279,81025935
258,Adan Martín Rocha,80162192,1,0.002228114346828279,70298393
259,Adan Otero,81000860,1,0.002228114346828279,80998565
260,Adarsh,"80222951,80237006,80245518,81048554",1,0.002228114346828279,70007056
261,Adarsh Gourav,"80222951,80245518",2,0.004456228693656558,81191228
262,Adarsh Kurne,81048554,1,0.002228114346828279,"81092780,81092781"
263,Addison Holley,80187223,1,0.002228114346828279,80144448
264,Addison Timlin,80106504,1,0.002228114346828279,80148967
265,Additi Gupta,80122193,1,0.002228114346828279,81147278
266,Ade Adepitan,81059856,1,0.002228114346828279,80124947
267,Adea Lennox,80184135,1,0.002228114346828279,81024705
268,Adebayo Thomas,81172758,1,0.002228114346828279,81060038
269,Adebukola Oladipupo,81172848,1,0.002228114346828279,80038337
270,Adeel Akhtar,80242619,1,0.002228114346828279,80201490
271,Adeel Hashmi,80175151,1,0.002228114346828279,"70267398,80098103"
272,Adeel Hussain,80094964,1,0.002228114346828279,80027041
273,Adel Bencherif,"80156857,81082327",2,0.004456228693656558,80117736
274,Adel Imam,81049811,1,0.002228114346828279,80211380
275,Adel Karam,"80203919,81079322",2,0.004456228693656558,81009829
276,Adelaide Clemens,"70243446,70260729",2,0.004456228693656558,80997862
277,Adelaide Hirasaki,80237347,1,0.002228114346828279,"70295762,80108518"
278,Adelaide Kane,"70213077,70283260",2,0.004456228693656558,"80117443,80215419"
279,Adele Perovic,80002999,1,0.002228114346828279,60000209
280,Adelfa Calvo,80173606,1,0.002228114346828279,81189396
281,Adeline Chetail,"80003196,80048100,80059047",3,0.006684343040484838,80015210
282,Adeline Rudolph,80223989,1,0.002228114346828279,80219127
283,Ademola Adedoyin,"80032842,81165786",2,0.004456228693656558,80096585
284,Aden Young,"70260729,80002999",2,0.004456228693656558,80119189
285,Adeolu Adefarasin,81172723,1,0.002228114346828279,80078761
286,Adesh Bhardwaj,70123116,1,0.002228114346828279,80046728
287,Adesua Etomi,"80168301,80208830,81172721,81172728,81172729,81172902,81213155",7,0.015596800427797954,"60026139,70112494,70259801"
288,Adetomiwa Edun,81172740,1,0.002228114346828279,"80050106,81010874"
289,Adewale Akinnuoye-Agbaje,80026032,1,0.002228114346828279,80148275
290,Adhir Kalyan,70109689,1,0.002228114346828279,81168341
291,Adhvik Mahajan,70105459,1,0.002228114346828279,81027187
292,Adi Khalefa,81008236,1,0.002228114346828279,80097814
293,Adi Kvetner,81075239,1,0.002228114346828279,80171982
294,Adi Lev,81172830,1,0.002228114346828279,80244782
295,Adib Alkhalidey,81008236,1,0.002228114346828279,81039323
296,Adil Dehbi,80999643,1,0.002228114346828279,"70003680,80149145"
297,Adil Hussain,"80038288,80041337,80081274,80092884,80149282,80159955,80218783,80243408,81013990,81018235,81018377,81076756,81107545,81213884",14,0.03119360085559591,"80108386,80990813"
298,Adina Porter,"70210884,70283264",2,0.004456228693656558,81154455
299,Adinath Kothare,81033429,1,0.002228114346828279,"70071832,70219525,80102160,80104130"
300,Adinia Wirasti,81016342,1,0.002228114346828279,"70113305,70275753,70285730,80115328,80991033,81088083"
301,Adipati Dolken,81140307,1,0.002228114346828279,80032364
302,Adisa Anderson,60001104,1,0.002228114346828279,80994424
303,Adithya Menon,81217737,1,0.002228114346828279,70129396
304,Aditi Arya,81151899,1,0.002228114346828279,"70073018,70109375"
305,Aditi Keskar,80156769,1,0.002228114346828279,80147321
306,Aditi Mittal,"80183329,81008236",2,0.004456228693656558,80208906
307,Aditi Rao Hydari,"70295762,80094096,80099083,80207445",4,0.008912457387313116,70285728
308,Aditi Sharma,81096151,1,0.002228114346828279,80132411
309,Aditi Vasudev,70185139,1,0.002228114346828279,"80117531,80991404"
310,Aditya Bhattacharya,70040077,1,0.002228114346828279,81016339
311,Aditya Hitkari,81005453,1,0.002228114346828279,80188120
312,Aditya Lakhia,"60034116,70073018",2,0.004456228693656558,80239738
313,Aditya Narayan,80059049,1,0.002228114346828279,81217737
314,Aditya Pancholi,80202905,1,0.002228114346828279,70139073
315,Aditya Raj Sharma,81154987,1,0.002228114346828279,70175127
316,Aditya Roy Kapoor,"70139074,70158421,80099083,80158042",4,0.008912457387313116,80103430
317,Aditya Sharma,80203788,1,0.002228114346828279,81171121
318,Aditya Srivastava,"17671454,70006816",2,0.004456228693656558,70206822
319,Adjetey Anang,81213149,1,0.002228114346828279,81103108
320,Adjoa Andoh,"70118779,80223997",2,0.004456228693656558,80187684
321,Adlu Fahrezy,81021082,1,0.002228114346828279,80206732
322,Adnan Haskovic,70270364,1,0.002228114346828279,81026327
323,Adnan Jaffar,81052280,1,0.002228114346828279,"70175439,80996787"
324,Adnan Malik,"80087348,81110389",2,0.004456228693656558,70058025
325,Adnan Shah,"80114155,80211135,80223190,81110388",4,0.008912457387313116,80115844
326,Adnan Siddiqui,80201175,1,0.002228114346828279,80223190
327,Adoor Ajayan,80998563,1,0.002228114346828279,80201828
328,Adora Dei,81003736,1,0.002228114346828279,80028208
329,Adreea Diac,80200961,1,0.002228114346828279,80203786
330,Adria Arjona,"80192187,81001887",2,0.004456228693656558,81213873
331,Adrian Alonso,70242938,1,0.002228114346828279,"60020906,70019491,70090035,70123118,80104257"
332,Adrian Bower,80074249,1,0.002228114346828279,"81151877,81151878,81151880"
333,Adrian Dunbar,"70020296,81059779",2,0.004456228693656558,81016193
334,Adrian Edmondson,"80141960,80192018",2,0.004456228693656558,"70170051,80049094"
335,Adrian Glynn McMorran,80225034,1,0.002228114346828279,81110389
336,Adrian Grenier,80098490,1,0.002228114346828279,80094964
337,Adrian Grösser,80134797,1,0.002228114346828279,"81092776,81092778,81092779"
338,Adrian Hall,374651,1,0.002228114346828279,81037898
339,Adrian Holmes,"70150473,70242081,80236118",3,0.006684343040484838,"80176698,81018236"
340,Adrian Hough,80036407,1,0.002228114346828279,80245518
341,Adrian Knight Jesly,81052277,1,0.002228114346828279,81024713
342,Adrian Ladron,80161104,1,0.002228114346828279,81016196
343,Adrian Lester,80048568,1,0.002228114346828279,"70124183,80013547,80022605"
344,Adrian Martinez,"70213466,80098467",2,0.004456228693656558,80999987
345,Adrian Moore,70302614,1,0.002228114346828279,81068687
346,Adrian Murray,80220531,1,0.002228114346828279,80147758
347,Adrian Pang,80173485,1,0.002228114346828279,80201816
348,Adrian Pasdar,"70295085,70295415,80005501,80065386,81127902",5,0.011140571734141397,80173234
349,Adrian Paul,80164164,1,0.002228114346828279,80235999
350,Adrian Petriw,"70165189,80147919,80192815,80212245",4,0.008912457387313116,"80004286,80208176"
351,Adrian Scarborough,80133117,1,0.002228114346828279,80234464
352,Adrian Schiller,"80035480,80058477",2,0.004456228693656558,80213400
353,Adriana Altaras,70118125,1,0.002228114346828279,80057700
354,Adriana Arango,"70205713,81022683",2,0.004456228693656558,"80091741,80208155"
355,Adriana Barraza,"70045866,80046599,80158168",3,0.006684343040484838,"80201605,80201817"
356,Adriana Botina,81135444,1,0.002228114346828279,70302835
357,Adriana Ozores,"70308105,80167648,80215507",3,0.006684343040484838,80195886
358,Adriana Paz,"80173606,80208295",2,0.004456228693656558,81047902
359,Adriana Torrebejano,80199806,1,0.002228114346828279,70123119
360,Adriana Ugarte,"80093103,80241387,80991158",3,0.006684343040484838,80134433
361,Adriane Daff,80190841,1,0.002228114346828279,80170483
362,Adriane Lenox,"70053833,80999455",2,0.004456228693656558,80167628
363,Adrianna Biedrzyńska,81168338,2,0.004456228693656558,80142637
364,Adrianna Di Liello,80189632,1,0.002228114346828279,80038296
365,Adrianna Edwards,81085824,1,0.002228114346828279,"60000722,60036112,70101039"
366,Adrianne Palicki,"70117305,70279852",2,0.004456228693656558,70241088
367,Adriano Garib,81003880,1,0.002228114346828279,"81093951,81186757,81186758"
368,Adriano Moraes,80078197,1,0.002228114346828279,80998564
369,Adriano Qalbi,81016338,1,0.002228114346828279,81172740
370,Adriano Tardiolo,81004245,1,0.002228114346828279,80096786
371,Adriano Zumbo,"80201328,80204927,81094391",3,0.006684343040484838,"80187618,81024716"
372,Adrien Barazzone,80116741,1,0.002228114346828279,80156405
373,Adrien Brody,"80002479,80017261,80052828,80190180",4,0.008912457387313116,70072558
374,Adrienne Bailon,70286355,1,0.002228114346828279,"70062814,70142798,80102950,81016045"
375,Adrienne Barbeau,"60004509,80235472",2,0.004456228693656558,"80169778,80172000,81135868"
376,Adrienne C. Moore,70242311,1,0.002228114346828279,80079428
377,Adrienne Pickering,"70095135,70301553",2,0.004456228693656558,80158319
378,Adrienne Rose White,80208661,1,0.002228114346828279,80203522
379,Adrienne Shaw,70112500,1,0.002228114346828279,80168033
380,Adrià Salazar,80191608,1,0.002228114346828279,"80190585,81070008"
381,Adrián Lastra,"80018046,80215507,80230423,80233962",4,0.008912457387313116,80121348
382,Adrián Núñez,80988834,1,0.002228114346828279,"793907,60029369"
383,Adrián Pino,80990609,1,0.002228114346828279,"22007250,60001650,60023597"
384,Adrián Salzedo,80152627,1,0.002228114346828279,80170767
385,Adrián Stoppelman,80104237,1,0.002228114346828279,81026329
386,Adrián Uribe,80238434,1,0.002228114346828279,81194544
387,Adrián Yospe,70041893,1,0.002228114346828279,70274390
388,Adul Charoenrasameekiat,80242137,1,0.002228114346828279,81081656
389,Adunni Ade,"81172726,81172866",2,0.004456228693656558,"60001404,81213896"
390,Ady An,"70303287,81072883",2,0.004456228693656558,80149282
391,Ady Putra,80163296,1,0.002228114346828279,60022396
392,Adám Fekete,80147758,1,0.002228114346828279,80084756
393,Adèle Exarchopoulos,"70275600,80115030",2,0.004456228693656558,"80227114,81043346,81132439"
394,Adèle Haenel,80107019,1,0.002228114346828279,60026477
395,Adèle Wismes,81011936,1,0.002228114346828279,"80094096,80165855,80238293"
396,Ae Sasikarn Aphichartworasilp,80243899,1,0.002228114346828279,80195885
397,Ae-yeon Jeong,80091783,1,0.002228114346828279,80135296
398,Aegina De Vas,80038446,1,0.002228114346828279,80063773
399,Aenie Wong,"80136450,80136454,80136455,80136456,80169350",5,0.011140571734141397,80190841
400,Aenne Schwarz,81030855,1,0.002228114346828279,81023636
401,Aeril Zafrel,80163294,1,0.002228114346828279,80161216
402,Afaf Rashad,81035855,1,0.002228114346828279,80052612
